Current program,Year of study,Program level,Sex,Ethnicity,Age group,Preferred learning style,Used ChatGPT for learning purposes,"How often  ChatGPT is used for educational
purposes",ChatGPT usage purposes,ChatGPT usage hours per week,Satisfaction with the quality of responses by ChatGPT,"How helpful ChatGPT in improving the
understanding of course material","Improvement of marks
since using ChatGPT for personalized learning","Level of confidence in understanding of
subjects after using ChatGPT","Sample situations where
ChatGPT significantly aided learning","Used any features of ChatGPT that tailor
responses to  learning preferences or
styles","If yes, how effective are the tailored
responses in enhancing comprehension and
knowledge acquisition","Feel that personalized responses from
ChatGPT have improved grades or academic
performance","Improvements to suggest for ChatGPT
to better support learning","Think that integrating ChatGPT more deeply into
the curriculum would benefit students","Features that would like to be seen in ChatGPT to
enhance  personalized learning capabilities","Additional comments or suggestions regarding
the use of ChatGPT in learning process"
CSIS,Second,Postgraduate,Female,Asian,25-34,Auditory,Yes,Daily,"Understanding concepts, Project research, Assignments, Class lecture and notes, Exam Preparation",Less than 1 hour,Neutral,Neutral,"Yes, slight improvement",Neutral,problem in statistical questions,No,,Agree,"speed, detailed answers",Agree,mathematical questions,
CSIS,First,Postgraduate,Male,Asian,18-24,Auditory,Yes,Daily,Understanding concepts,Less than 1 hour,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,,Yes,Very effective,Strongly Agree,,Strongly Agree,,
CSIS,Second,Postgraduate,Male,Hispanic/Latino,25-34,Auditory,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,No change,Very confident,understanding new algorithms,No,,Strongly disagree,,Agree,,
CSIS,First,Postgraduate,Male,Asian,18-24,Auditory,Yes,Daily,"Understanding concepts, Project research, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, significant improvement",Confident,in OS courses,Yes,Effective,Agree,reading files,Agree,,
CSIS,First,Postgraduate,Male,Asian,25-34,Auditory,Yes,Weekly,"Understanding concepts, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,"I always type ""explain line like I'm a 5 years old""",Yes,Effective,Neutral,,Disagree,,
CSIS,First,Postgraduate,Male,Asian,25-34,Auditory,Yes,Weekly,Understanding concepts,1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,on coding errors and debugging,No,,Agree,"research updates, some info in chatGPT is limited",Neutral,,
CSIS,Second,Diploma,Male,Hispanic/Latino,25-34,Auditory,Yes,Weekly,Understanding concepts,1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Confident,understanding concepts of object oriented programming,No,,,"an option to filter by areas like computer science, philosophy, literature, and so on",Agree,,
CSIS,First,Postgraduate,Male,Hispanic/Latino,45-54,Kinesthetic,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",3 to 5 hours,Satisfied,Helpful,"Yes, significant improvement",Confident,understand programming languages,No,,Agree,,Agree,guided lectures,visual material
CSIS,First,Postgraduate,Female,Asian,25-34,Kinesthetic,Yes,Daily,"Understanding concepts, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Helpful,"Yes, significant improvement",Confident,,No,,Agree,data,Agree,,
CSIS,Second,Diploma,Male,Asian,25-34,Kinesthetic,Yes,Daily,"Understanding concepts, Homework assistance, Exam Preparation",Less than 1 hour,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,explain slide content,No,,Neutral,,Agree,"integration with ppt, word",
CSIS,First,Diploma,Female,Hispanic/Latino,45-54,Kinesthetic,No,,,,,,,,,,,,,,,
CSIS,First,Diploma,Female,Asian,35-44,Kinesthetic,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Not confident,theory explanations and rephrasing,Yes,Effective,Agree,better data finding,Neutral,,maybe better data feed will have better results
CSIS,Second,Postgraduate,Female,Asian,18-24,Kinesthetic,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Confident,coding sample and suggestions,Yes,Effective,Agree,providing some useful video resources for learning purposes,Strongly Agree,video learning,hope there are more professor teaching how to use it as a tool for studying
CSIS,Second,Postgraduate,Male,Asian,25-34,Kinesthetic,Yes,Weekly,Understanding concepts,1 to 3 hours,Neutral,Neutral,"Yes, slight improvement",Confident,,No,,Neutral,guarantee that the answers are 100% correct,Disagree,"ChatGPT does not give 100% correct answers, need to research more and double check",
CSIS,First,Postgraduate,Female,Asian,25-34,Kinesthetic,Yes,Daily,Understanding concepts,Less than 1 hour,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,,No,,Agree,,Neutral,,
OADM,First,Postgraduate,Male,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
CSIS,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,help understand some insightful concept,No,,Neutral,,Neutral,can be personalized and guide how to learn target knowledge,
CSIS,First,Postgraduate,Male,Asian,35-44,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,finding code errors,No,,Agree,using video,Neutral,recommendation personal education guide,
CSIS,Second,Postgraduate,Prefer not to say,Prefer not to say,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,,No,,Neutral,for it to stop giving wrong answers,Neutral,,sometimes it gives wrong answers
CSIS,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Rarely,"Understanding concepts, Homework assistance, Exam Preparation",1 to 3 hours,Satisfied,Helpful,No change,Very confident,it gives a proper explanation of PHP PDO object class,No,,Neutral,to not mislead with wrong answers,Neutral,providing links to external learning materials,
CSIS,First,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Weekly,Understanding concepts,Less than 1 hour,Satisfied,Helpful,No change,Confident,,No,,Neutral,there is not much we can do I think,Neutral,,
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Weekly,"Homework assistance, Assignments",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Confident,,,,,,,,
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",3 to 5 hours,Satisfied,Helpful,No change,Confident,mostly understanding concepts that are not clear,No,,,,Agree,,
CSIS,First,Postgraduate,Male,Asian,35-44,Reading/Writing,Yes,Daily,"Understanding concepts, Tutoring or extra help",More than 5 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,ChatGPT provides short response time,Yes,Very effective,Strongly Agree,recommend learning resources,Strongly Agree,create a textbook from resources,
CSIS,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Assignments",Less than 1 hour,Satisfied,Helpful,"Yes, significant improvement",Confident,"Coding, summarize concept",Yes,Very effective,Strongly Agree,advise,Agree,reference URL,
CSIS,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,Understanding complex codes,Yes,Neutral,Neutral,"I think it’s all good 
Sometimes the answers are not as accurate as we expect",Neutral,Language option,Use wisely
Finance,Second,Diploma,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,"As a student, I was having a hard time understanding the concept of portfolio diversification in my finance class. I decided to ask ChatGPT for help. ChatGPT explained the theory behind diversification, how it reduces risk, and why it's important for investors. It also provided practical examples of diversified portfolios and showed how different asset classes can balance each other out. By breaking down complex financial jargon and offering clear, real-world examples, ChatGPT helped me grasp the concept much better and ace my next exam on the topic.",Yes,Very effective,Strongly Agree,Personalized Learning Paths: Offering personalized learning paths based on my progress and areas of difficulty would make study sessions more efficient.,Strongly Agree,"Tools for tracking my progress over time, including completed topics, test scores, and areas needing improvement.","Integration with Learning Platforms: Seamless integration with popular learning management systems (LMS) like Canvas, Blackboard, or Google Classroom would streamline access to assignments and resources."
CSIS,Second,Postgraduate,Male,Asian,18-24,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",Less than 1 hour,Very satisfied,Helpful,"Yes, slight improvement",Confident,While coding,Yes,Effective,Agree,,Strongly Agree,Providing links for the videos of concepts,
CSIS,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments",3 to 5 hours,Neutral,Very Helpful,"Yes, significant improvement",Confident,Projects,Yes,Neutral,Disagree,Free,Strongly Agree,Image,
CSIS,Second,Postgraduate,Male,Asian,35-44,Reading/Writing,No,,,,,,,,,,,,,,,
CSIS,First,Postgraduate,Male,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
CSIS,Second,Postgraduate,Male,Hispanic/Latino,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Exam Preparation",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Neutral,Where the provided material is lacking depth or it's using terms that I don't understand,No,Neutral,Neutral,Factual checks,Neutral,Larger context window to provide documents like books,"The education system should change, because a lot of the things that we are thought how to do, will get done by AI, so we should focus on other things"
CSIS,Second,Postgraduate,Male,African,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,In preparation for quiz,Yes,Effective,Neutral,More clarity,Agree,Gpts for specific subjects,
CSIS,Second,Diploma,Female,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help",1 to 3 hours,Dissatisfied,Neutral,"Yes, slight improvement",Confident,Help and assistance in my assignments,Yes,Neutral,Agree,To give more accurate answers,Agree,"Give more options in personalized learning plans, learning analytics and goal setting and tracking",May be some customization options or offline access
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,ChatGPT helped me in understanding machine learning concepts and assisted in our data analytics projects for our course.,Yes,Effective,Agree,More accurate and tailored answers for users’ questions,Disagree,Able to scan learning materials provided by professors to get a better grasp on how to tailor answers,
CSIS,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Satisfied,Helpful,"Yes, significant improvement",Very confident,I could start to learn python with chat gpt.,Yes,Effective,Agree,Recalling mechanism must be improved,Neutral,Writings are not understandable and it can give fake references,I usually use this tool to be able to get hand for my programming courses or project creation process. It should be improved for handling and troubleshooting
Marketing,First,Diploma,Female,Asian,35-44,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research",1 to 3 hours,Satisfied,Helpful,No change,Not applicable,"In project management course, when I had to research about companies using some specific project management methodologies",No,Neutral,Disagree,make the language more friendly and not highfalutin,Strongly Agree,simplified english,
Marketing,First,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Daily,"Homework assistance, Project research, Assignments",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Very confident,I usually use chatgpt to create outlines if i need to write a paper. It really helps me to make a cohesive paper.,Yes,Effective,Agree,,Agree,,
Business,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Neutral,ChatGPT has helped me understand multiple equations.,No,Neutral,Neutral,Right now I don’t see any improvements to be made.,Neutral,Different ways of inputting data.,
Business,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Monthly,Understanding concepts,Less than 1 hour,Satisfied,Very Helpful,"Yes, slight improvement",Confident,"Yes, for interview questions.",No,Very ineffective,Agree,More precise answers,Agree,Practical based solutions,
CSIS,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,Helpful when comes to prepare for an exam. Summarizes the all the lectures.,No,Neutral,Neutral,More suggested answers,Agree,,
OADM,First,Diploma,Female,Asian,18-24,Reading/Writing,Yes,Rarely,"Understanding concepts, Project research",Less than 1 hour,Neutral,Neutral,No change,Confident,to explain some concept in a simple way or even in my first language,No,,Neutral,,,,
Business Law,First,Diploma,Male,African,35-44,Reading/Writing,Yes,Rarely,Homework assistance,Less than 1 hour,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,I needed to provide structure to my research work as it was helpful,Yes,Very effective,Strongly Agree,Update with current trends of information,Agree,provide information in relation to current events,
Business Law,First,Diploma,Male,African,35-44,Reading/Writing,Yes,Rarely,Project research,1 to 3 hours,Very satisfied,Helpful,"Yes, slight improvement",Confident,It gives explanation summary,Yes,Effective,Agree,Mathematical method,Agree,geographical features and legal explanation,
Finance,First,Postgraduate,Female,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Neutral,Neutral,No change,Neutral,,Yes,Neutral,Neutral,,Neutral,,
Finance,First,Postgraduate,Male,Asian,18-24,Reading/Writing,Yes,Monthly,"Assignments, Tutoring or extra help, Exam Preparation",Less than 1 hour,Dissatisfied,Unhelpful,No change,Neutral,Not much of an aid,No,Neutral,Neutral,improved/better basis,Disagree,authenticity,Can't be dependent
Finance,Second,Bachelors,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research",1 to 3 hours,Very satisfied,Very Helpful,No change,Neutral,"I had a corporate finance project in which I did not know some concepts, so ChatGPT helped me in that. Also, whenever I have project, I generate format/outline of project from there which really helps me",No,,Neutral,sometimes it gives too different answers and it is sometimes wrong,Strongly Agree,to be more accurate while giving answers and let us know if the answer might not be correct,it is very helpful for understanding concepts and for the projects as well
Finance,First,Diploma,Male,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Finance,Third,Bachelors,Male,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Project research, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, significant improvement",Confident,,No,,Neutral,,Agree,,
Finance,Fourth,Bachelors,Female,Asian,18-24,Reading/Writing,Yes,Rarely,Understanding concepts,Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Confident,it provides examples,No,,Neutral,maybe more accurate results involving numbers,Neutral,,
Finance,First,Diploma,Female,Asian,25-34,Reading/Writing,Yes,Weekly,"Homework assistance, Project research, Assignments, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, significant improvement",Neutral,,No,,Agree,more accuracy,Agree,,
Finance,Second,Diploma,Female,Asian,25-34,Reading/Writing,Yes,Rarely,Other,Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Neutral,to provide summary of large paragraph,Yes,Effective,Disagree,,Agree,more accuracy in solving quantitative problems,
Finance,First,Diploma,Female,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Finance,First,Postgraduate,Female,Asian,45-54,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Tutoring or extra help",3 to 5 hours,Satisfied,Very Helpful,"Yes, significant improvement",Confident,help to give me more detailed explanations for some concepts,No,,Agree,more accurate,Strongly Agree,free to students,more information about how to better use ChatGPT
Finance,First,Diploma,Male,Asian,35-44,Reading/Writing,Yes,Weekly,"Project research, Class lecture and notes",Less than 1 hour,Very satisfied,Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Neutral,,Neutral,,
Finance,First,Diploma,Female,Asian,35-44,Reading/Writing,Yes,Rarely,"Project research, Tutoring or extra help, Exam Preparation",1 to 3 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,create table according macroeconomic data and analyze data statistics,Yes,Effective,Agree,,Strongly Agree,ability to use,strongly recommend
Finance,First,Postgraduate,Male,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Class lecture and notes",1 to 3 hours,Satisfied,Helpful,No change,Confident,where you missed a part that the instructor had already explained during class,Yes,Effective,Agree,the ability to remember the question/answers formats that the users provided on the past,Neutral,,
Finance,First,Postgraduate,Female,Prefer not to say,35-44,Reading/Writing,No,,,,,,,,,,,,,,,
Finance,First,Diploma,Male,Hispanic/Latino,35-44,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research",1 to 3 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,clarifying some concepts and giving me some sources,Yes,Neutral,Neutral,improve the accuracy of math calculations,Neutral,improve the quality of math calculation and solve problem,
Finance,First,Diploma,Male,Asian,25-34,Reading/Writing,Yes,Weekly,Other,Less than 1 hour,Dissatisfied,Unhelpful,"Yes, slight improvement",Neutral,"no, they give out remarkably wrong understanding of concepts often",No,,Neutral,don't give out bogus answers or give a link source for whatever they're claiming,Disagree,better grammar check,
Finance,Second,Postgraduate,Female,Asian,18-24,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Assignments, Tutoring or extra help",3 to 5 hours,Satisfied,Helpful,"Yes, slight improvement",Neutral,explaining concepts,Yes,Effective,Neutral,,Agree,,
Finance,First,Diploma,Female,Asian,25-34,Reading/Writing,Yes,Rarely,Tutoring or extra help,Less than 1 hour,Neutral,Neutral,No change,Not applicable,,No,,Neutral,,Agree,,
Finance,Second,Postgraduate,Male,Asian,25-34,Reading/Writing,No,,,,,,,,,,,,,,,
Finance,First,Postgraduate,Female,African,35-44,Reading/Writing,No,,,,,,,,,,,,,,,
Finance,First,Diploma,Male,Hispanic/Latino,18-24,Reading/Writing,Yes,Monthly,"Understanding concepts, Homework assistance, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Neutral,No change,Confident,,No,,Neutral,,Disagree,,maybe a version restricted to class purpose only
Finance,First,Bachelors,Female,Asian,18-24,Reading/Writing,Yes,Rarely,Understanding concepts,Less than 1 hour,Satisfied,Helpful,No change,Neutral,"understanding a certain concept in a course, a format of certain report",No,,Neutral,,Neutral,giving more than just brief answer,
Finance,First,Bachelors,Male,Asian,18-24,Reading/Writing,Yes,Monthly,"Understanding concepts, Homework assistance, Tutoring or extra help, Exam Preparation",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Neutral,ChatGPT aided in breaking down concepts in macroeconomics into a way that I could understand,Yes,Effective,Neutral,refining accuracy of MCQ that it generates. Often it gets answers confused,Neutral,,
Finance,First,Diploma,Female,Asian,35-44,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Neutral,"researching in certain topics, rephrasing my reports",No,,Agree,math answers and solutions are sometimes incorrect,Disagree,,sometimes repetitive
Finance,Third,Bachelors,Male,Prefer not to say,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Satisfied,Helpful,No change,Neutral,,No,,Neutral,prepare practice test according to prof lectures and slides,Agree,,
Finance,Second,Diploma,Male,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",3 to 5 hours,Satisfied,Very Helpful,"Yes, significant improvement",Very confident,"when I do not understand a subject in a course, I will use it to understand the subject",Yes,Effective,Strongly Agree,,Strongly Agree,,
Marketing,Second,Diploma,Male,White/Caucasian,25-34,Reading/Writing,Yes,Rarely,Other,Less than 1 hour,Satisfied,Neutral,No change,Not applicable,Idea generation for projects like creating ideas for possible marketing activities or customer profiles,No,,Neutral,,Agree,source citing,time to teach applied AI for use in the workplace
Marketing,Fourth,Diploma,Male,White/Caucasian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Tutoring or extra help, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,I use ChatGPT to learn a subject without reusing the text,Yes,Very effective,Strongly Agree,giving a correct answer with any prompt,Strongly Agree,study guides,
Marketing,Second,Diploma,Male,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Marketing,Third,Diploma,Male,Hispanic/Latino,18-24,Reading/Writing,Yes,Rarely,Understanding concepts,Less than 1 hour,Very satisfied,Very Helpful,No change,Very confident,"used ChatGPT to understand a word problem, it broke it down for me really easily",No,,Agree,maybe bring able to give more in depth answers,Agree,more visual aids,
Marketing,Second,Diploma,Female,African,Prefer not to say,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Project research",1 to 3 hours,Satisfied,Helpful,No change,Not applicable,,Yes,Effective,Neutral,,Neutral,,use with caution
Marketing,Third,Diploma,Female,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Tutoring or extra help, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,"Yes, significant improvement",Confident,,No,,Agree,,Agree,,
Marketing,First,Diploma,Male,African,35-44,Reading/Writing,Yes,Daily,Understanding concepts,3 to 5 hours,Neutral,Neutral,"Yes, significant improvement",Not applicable,interpreting complex concept e.g. youtube transcript,Yes,Neutral,Disagree,pop up for prompt suggestions,Agree,prompt pop up without asking,
Marketing,Second,Postgraduate,Female,African,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Homework assistance",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Confident,it helps me understand concepts of my assignments,Yes,Very effective,Agree,voice memos,Strongly Agree,ability for chatgpt to access video links and watch,
Marketing,First,Diploma,Female,African,25-34,Reading/Writing,Yes,Rarely,Understanding concepts,Less than 1 hour,Neutral,Helpful,No change,Confident,insights on concepts and terminologies,Yes,Effective,Agree,give more specific than generic answers,Agree,space to add comments,give proper referencing from/of resources/materials
Marketing,Second,Diploma,Male,Hispanic/Latino,18-24,Reading/Writing,Yes,Rarely,Understanding concepts,Less than 1 hour,Neutral,Neutral,No change,Confident,clarifying concepts and giving  directions,No,,Neutral,students need to learn how to use,Neutral,generation of most complicated features such as 3D graphics,
Marketing,Second,Diploma,Male,Asian,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Marketing,Second,Bachelors,Male,Asian,18-24,Reading/Writing,Yes,Rarely,"Understanding concepts, Class lecture and notes",Less than 1 hour,Satisfied,Helpful,"Yes, slight improvement",Confident,helped understand the concept better,No,,Agree,,Neutral,help understand a topic better,
Marketing,First,Bachelors,Male,Asian,18-24,Reading/Writing,Yes,Weekly,"Understanding concepts, Homework assistance, Tutoring or extra help, Exam Preparation",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Neutral,helping understand terms when studying,Yes,Effective,Agree,,Neutral,,
Marketing,First,Diploma,Male,Hispanic/Latino,18-24,Reading/Writing,No,,,,,,,,,,,,,,,
Marketing,Second,Postgraduate,Female,Asian,25-34,Reading/Writing,Yes,Daily,Project research,More than 5 hours,Neutral,Helpful,"Yes, slight improvement",Confident,research on more concepts to beyond the lectures,Yes,Effective,Agree,sometimes it doesn't give 100% accurate answers. I prefer more accuracy,Agree,"more features in designing, photoshop",can get more details without time limitation
Marketing,First,Diploma,Female,African,25-34,Reading/Writing,Yes,Weekly,Understanding concepts,Less than 1 hour,Satisfied,Helpful,No change,Neutral,I mainly use it to better understand what is being asked in the assignment,Yes,Effective,Neutral,,Agree,academical source capabilties,
Marketing,Second,Bachelors,Male,Asian,25-34,Reading/Writing,Yes,Daily,"Understanding concepts, Project research, Assignments, Class lecture and notes, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,,Yes,Very effective,Strongly Agree,,Strongly Agree,,
